:ID,:LABEL,label,codeSystem,hasCode
CS:tim-nhanh,ClinicalSign,Tim nhanh,,
CS:tm-c-n-i,ClinicalSign,TM cổ nổi,,
CS:t-t-ha,ClinicalSign,Tụt HA,,
CS:s-c,ClinicalSign,Sốc,,
RF:b-nh-n-i-khoa-nh-p-vi-n,RiskFactor,Bệnh nội khoa nhập viện,,
RF:h-n-ch-i-l-i,RiskFactor,Hạn chế đi lại,,
RF:ph-u-thu-t-b-ng-ch-u-ch-nh-h-nh,RiskFactor,Phẫu thuật bụng chậu chỉnh hình,,
RF:thai-k,RiskFactor,Thai kỳ,,
D:huy-t-kh-i-t-nh-m-ch-s-u,Disease,Huyết khối tĩnh mạch sâu,,
D:thuy-n-t-c-ph-i,Disease,Thuyên tắc phổi,,
D:ung-th,Disease,Ung thư,,
CS:ho-m-u,ClinicalSign,Ho máu,,
CS:nh-p-tim-100,ClinicalSign,Nhịp tim > 100,,
D:huy-t-kh-i-t-nh-m-ch,Disease,Huyết khối tĩnh mạch,,
D:b-nh-l-kh-c,Disease,Bệnh lý khác,,
LT:kh-m-u-ng-m-ch,LabTest,khí máu động mạch,,
CS:gi-m-oxy-m-u,ClinicalSign,giảm oxy máu,,
IF:b-ng-m,ImagingFinding,Bóng mờ,,
AS:m-ng-ph-i,AnatomicalSite,Màng phổi,,
IF:x-p-d-ng-a,ImagingFinding,Xẹp dạng đĩa,,
IF:n-ng-cao-c-ho-nh,ImagingFinding,Nâng cao cơ hoành,,
D:tr-n-d-ch-m-ng-ph-i,Disease,Tràn dịch màng phổi,,
IF:gi-m-gi-ng-m-ch-ph-i,ImagingFinding,Giảm giường mạch phổi,,
IF:c-t-c-t-ng-m-ch-ph-i,ImagingFinding,Cắt cụt động mạch phổi,,
CS:nh-p-nhanh-xoang,ClinicalSign,Nhịp nhanh xoang,,
LT:d-dimer,LabTest,D-dimer,,
IF:l-n-th-t-p,ImagingFinding,Lớn thất P,,
IF:gi-m-ng-th-t-p,ImagingFinding,Giảm động thất P,,
D:t-ng-p-ph-i,Disease,Tăng áp phổi,,
IF:h-3-l,ImagingFinding,Hở 3 lá,,
IF:huy-t-kh-i-bu-ng-tim,ImagingFinding,Huyết khối buồng tim,,
AS:ng-m-ch-ph-i,AnatomicalSite,Động mạch phổi,,
